seq	lat	long
500	-99.135	19.44
501	-99.21	19.355
502	-99.205	19.375
503	-99.18	19.445
504	-99.135	19.465
505	-100.34	25.715
506	-99.195	19.365
507	-99.145	19.545
508	-99.115	19.405
509	-99.135	19.475
510	-99.16	19.36
511	-99.145	19.31
512	-99.105	19.265
513	-99.075	19.335
514	-100.35	25.67
515	-99.175	41.748
516	-103.35	20.67
517	-99.15	19.385
518	-99.16	41.717
519	-99.12	19.485
520	-100.34	25.67
521	-99.225	19.415
522	-99.23	19.35
523	-99.225	19.325
524	-99.195	19.405
525	-99.225	19.395
526	-99.165	19.27
527	-99.22	19.43
528	-99.075	19.495
529	-99.1	19.415
530	-99.165	19.36
531	-99.125	19.35
532	-99.13	19.295
533	-100.195	25.715
534	-99.165	19.295
535	-99.095	19.45
536	-99.2	19.48
537	-99.09	19.25
538	-99.195	19.425
539	-99.145	19.34
540	-103.385	20.68
541	-99.165	19.44
542	-99.14	19.405
543	-100.295	25.625
544	-103.345	20.62
545	-103.39	20.665
546	-99.06	19.405
547	-100.285	25.62
548	-103.4	20.65
549	-99.21	19.34
550	-99.105	19.385
551	-99.19	19.37
552	-99.215	19.42
553	-100.315	25.675
554	-100.36	25.67
555	-99.135	19.345
556	-100.325	25.67
557	-103.375	20.675
558	-99.17	41.778
559	-99.185	19.485
560	-100.36	25.675
561	-99.01	19.295
562	-103.375	20.695
563	-100.345	25.695
564	-99.18	19.34
565	-99.15	19.485
566	-99.195	19.435
567	-99.155	19.45
568	-103.385	20.69
569	-99.15	19.38
570	-99.085	19.435
571	-99.145	19.47
572	-99.085	19.355
573	-99.175	19.445
574	-103.39	20.67
575	-100.355	25.69
576	-99.225	19.31
577	-103.35	20.68
578	-99.205	41.778
579	-100.285	25.65
580	-99.17	19.355
581	-99.135	19.405
582	-99.195	19.35
583	-99.245	19.405
584	-103.335	20.685
585	-99.125	19.435
586	-103.355	20.675
587	-99.09	19.465
588	-99.15	41.748
589	-99.105	19.395
590	-99.14	19.51
591	-99.2	19.35
592	-99.08	19.375
593	-100.32	25.685
594	-103.345	20.67
595	-103.37	20.67
596	-99.145	19.37
597	-99.23	19.365
598	-103.305	20.685
599	-100.275	25.64
600	-103.36	20.645
601	-103.38	20.685
602	-99.205	41.748
603	-99.19	19.395
604	-99.125	41.748
605	-99.14	41.748
606	-99.115	19.41
607	-99.16	41.748
608	-99.15	19.54
609	-103.36	20.695
610	-99.145	19.42
611	-100.35	25.695
612	-103.385	20.685
613	-99.155	19.375
614	-103.315	20.66
615	-99.245	19.31
616	-99.235	19.36
